,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_Location,Protein_longname and Alternative_names
168,Q8IVW4,CDKL3_HUMAN,CDKL3 NKIAMRE,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",Cytoplasm,Cyclin-dependent kinase-like 3  (Serine/threonine-protein kinase NKIAMRE)
169,Q5MAI5,CDKL4_HUMAN,CDKL4,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",Cytoplasm,Cyclin-dependent kinase-like 4 
170,O76039,CDKL5_HUMAN,CDKL5 STK9,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Nucleus Cytoplasm, cytoskeleton, cilium basal body Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",Cyclin-dependent kinase-like 5  (Serine/threonine-protein kinase 9)
171,P49759,CLK1_HUMAN,CLK1 CLK,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily","Nucleus Cytoplasm, cytoskeleton, cilium basal body Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",Dual specificity protein kinase CLK1  (CDC-like kinase 1)
172,P49760,CLK2_HUMAN,CLK2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily","Nucleus Cytoplasm, cytoskeleton, cilium basal body Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",Dual specificity protein kinase CLK2  (CDC-like kinase 2)
173,P49761,CLK3_HUMAN,CLK3,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily","Isoform 1: Nucleus. Cytoplasm Cytoplasmic vesicle, secretory vesicle, acrosome",Dual specificity protein kinase CLK3  (CDC-like kinase 3)
174,Q9HAZ1,CLK4_HUMAN,CLK4,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily",Nucleus,Dual specificity protein kinase CLK4  (CDC-like kinase 4)
175,Q13627,DYR1A_HUMAN,DYRK1A DYRK MNB MNBH,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily",Nucleus Nucleus speckle,Dual specificity tyrosine-phosphorylation-regulated kinase 1A  (Dual specificity YAK1-related kinase) (HP86) (Protein kinase minibrain homolog) (MNBH) (hMNB)
176,Q9Y463,DYR1B_HUMAN,DYRK1B MIRK,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily",Nucleus Nucleus speckle,Dual specificity tyrosine-phosphorylation-regulated kinase 1B  (Minibrain-related kinase) (Mirk protein kinase)
177,Q92630,DYRK2_HUMAN,DYRK2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily",Nucleus Nucleus speckle,Dual specificity tyrosine-phosphorylation-regulated kinase 2 
178,O43781,DYRK3_HUMAN,DYRK3,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily","Nucleus Cytoplasm Nucleus speckle Cytoplasmic granule Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",Dual specificity tyrosine-phosphorylation-regulated kinase 3  (Regulatory erythroid kinase) (REDK)
179,Q9NR20,DYRK4_HUMAN,DYRK4,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily",Isoform 1: Cytoplasm,Dual specificity tyrosine-phosphorylation-regulated kinase 4 
180,P49840,GSK3A_HUMAN,GSK3A,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",Isoform 1: Cytoplasm,Glycogen synthase kinase-3 alpha (GSK-3 alpha)  (Serine/threonine-protein kinase GSK3A) 
181,P49841,GSK3B_HUMAN,GSK3B,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",Cytoplasm Nucleus. Cell membrane.,Glycogen synthase kinase-3 beta (GSK-3 beta)  (Serine/threonine-protein kinase GSK3B) 
182,Q86Z02,HIPK1_HUMAN,HIPK1 KIAA0630 MYAK NBAK2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, HIPK subfamily",Cytoplasm Nucleus. Cell membrane.,Homeodomain-interacting protein kinase 1  (Nuclear body-associated kinase 2)
183,Q9H2X6,HIPK2_HUMAN,HIPK2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, HIPK subfamily","Nucleus, PML body Cytoplasm.",Homeodomain-interacting protein kinase 2 (hHIPk2) 
184,Q9H422,HIPK3_HUMAN,HIPK3 DYRK6 FIST3 PKY,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, HIPK subfamily",Cytoplasm Nucleus,Homeodomain-interacting protein kinase 3  (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1)
185,Q8NE63,HIPK4_HUMAN,HIPK4,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, HIPK subfamily",Cytoplasm,Homeodomain-interacting protein kinase 4 
186,Q9UPZ9,ICK_HUMAN,ICK KIAA0936,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Nucleus Cytoplasm, cytosol Cell projection, cilium Cytoplasm, cytoskeleton, cilium basal body",Serine/threonine-protein kinase ICK  (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)
187,P20794,MAK_HUMAN,MAK,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytoskeleton, spindle. Midbody. Cell projection, cilium, photoreceptor outer segment Photoreceptor inner segment.",Serine/threonine-protein kinase MAK  (Male germ cell-associated kinase)
188,P28482,MK01_HUMAN,MAPK1 ERK2 PRKM1 PRKM2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily","Cytoplasm, cytoskeleton, spindle Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm. Membrane, caveola",Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1)  (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)
189,P53779,MK10_HUMAN,MAPK10 JNK3 JNK3A PRKM10 SAPK1B,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Cytoplasm Membrane Lipid-anchor Nucleus Mitochondrion,Mitogen-activated protein kinase 10 (MAP kinase 10) (MAPK 10)  (MAP kinase p49 3F12) (Stress-activated protein kinase 1b) (SAPK1b) (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3)
190,Q15759,MK11_HUMAN,MAPK11 PRKM11 SAPK2 SAPK2B,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase 11 (MAP kinase 11) (MAPK 11)  (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (Stress-activated protein kinase 2b) (SAPK2b) (p38-2)
191,P53778,MK12_HUMAN,MAPK12 ERK6 SAPK3,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12)  (Extracellular signal-regulated kinase 6) (ERK-6) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma) (Stress-activated protein kinase 3)
192,O15264,MK13_HUMAN,MAPK13 PRKM13 SAPK4,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13)  (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)
193,Q16539,MK14_HUMAN,MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14)  (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a)
194,Q8TD08,MK15_HUMAN,MAPK15 ERK7 ERK8,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily","Cytoplasm, cytoskeleton, cilium basal body Cell junction, tight junction Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole Cytoplasmic vesicle, autophagosome Golgi apparatus Nucleus Cytoplasm Cytoplasm, cytoskeleton, spindle",Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15)  (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8)
195,P27361,MK03_HUMAN,MAPK3 ERK1 PRKM3,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily","Cytoplasm. Nucleus. Membrane, caveola",Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3)  (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)
196,P31152,MK04_HUMAN,MAPK4 ERK4 PRKM4,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase 4 (MAP kinase 4) (MAPK 4)  (Extracellular signal-regulated kinase 4) (ERK-4) (MAP kinase isoform p63) (p63-MAPK)
197,Q16659,MK06_HUMAN,MAPK6 ERK3 PRKM6,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6)  (Extracellular signal-regulated kinase 3) (ERK-3) (MAP kinase isoform p97) (p97-MAPK)
198,Q13164,MK07_HUMAN,MAPK7 BMK1 ERK5 PRKM7,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7)  (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)
199,P45983,MK08_HUMAN,MAPK8 JNK1 PRKM8 SAPK1 SAPK1C,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8)  (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)
200,P45984,MK09_HUMAN,MAPK9 JNK2 PRKM9 SAPK1A,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9)  (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)
201,Q9UQ07,MOK_HUMAN,MOK RAGE RAGE1,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm Cell projection, cilium Nucleus",MAPK/MAK/MRK overlapping kinase  (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1)
202,Q9UBE8,NLK_HUMAN,NLK LAK1,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Nucleus Cytoplasm,Serine/threonine-protein kinase NLK  (Nemo-like kinase) (Protein LAK1)
203,Q13523,PRP4B_HUMAN,PRPF4B KIAA0536 PRP4 PRP4H PRP4K,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family",Nucleus Cytoplasm,Serine/threonine-protein kinase PRP4 homolog  (PRP4 kinase) (PRP4 pre-mRNA-processing factor 4 homolog)
204,Q96SB4,SRPK1_HUMAN,SRPK1,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family",Nucleus Cytoplasm,SRSF protein kinase 1  (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1)
205,P78362,SRPK2_HUMAN,SRPK2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family",Nucleus Cytoplasm,SRSF protein kinase 2  (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]
206,Q9UPE1,SRPK3_HUMAN,SRPK3 MSSK1 STK23,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family",Nucleus Cytoplasm,SRSF protein kinase 3  (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23)
207,Q96PY6,NEK1_HUMAN,NEK1 KIAA1901,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily","Nucleus Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm",Serine/threonine-protein kinase Nek1  (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)
208,Q6ZWH5,NEK10_HUMAN,NEK10,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily","Nucleus Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm",Serine/threonine-protein kinase Nek10  (Never in mitosis A-related kinase 10) (NimA-related protein kinase 10)
209,Q8NG66,NEK11_HUMAN,NEK11,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily","Nucleus Nucleus, nucleolus",Serine/threonine-protein kinase Nek11  (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11)
210,P51955,NEK2_HUMAN,NEK2 NEK2A NLK1,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily","Isoform 1: Nucleus. Nucleus, nucleolus Cytoplasm. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm, cytoskeleton, spindle pole. Chromosome, centromere, kinetochore. Chromosome, centromere",Serine/threonine-protein kinase Nek2  (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)
211,P51956,NEK3_HUMAN,NEK3,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily","Cytoplasm Cell projection, axon",Serine/threonine-protein kinase Nek3  (HSPK 36) (Never in mitosis A-related kinase 3) (NimA-related protein kinase 3)
212,P51957,NEK4_HUMAN,NEK4 STK2,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily","Cell projection, cilium Cytoplasm",Serine/threonine-protein kinase Nek4  (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2)
213,Q6P3R8,NEK5_HUMAN,NEK5,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily","Cell projection, cilium Cytoplasm",Serine/threonine-protein kinase Nek5  (Never in mitosis A-related kinase 5) (NimA-related protein kinase 5)
214,Q9HC98,NEK6_HUMAN,NEK6,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily","Cell projection, cilium Cytoplasm",Serine/threonine-protein kinase Nek6  (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6) (Protein kinase SID6-1512)
215,Q8TDX7,NEK7_HUMAN,NEK7,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily","Cell projection, cilium Cytoplasm",Serine/threonine-protein kinase Nek7  (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)
216,Q86SG6,NEK8_HUMAN,NEK8 JCK NEK12A,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily","Cytoplasm Cytoplasm, cytoskeleton. Cell projection, cilium",Serine/threonine-protein kinase Nek8  (Never in mitosis A-related kinase 8) (NimA-related protein kinase 8) (Nima-related protein kinase 12a)
217,Q8TD19,NEK9_HUMAN,NEK9 KIAA1995 NEK8 NERCC,"Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily",Cytoplasm Nucleus,Serine/threonine-protein kinase Nek9  (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)
218,P25092,GUC2C_HUMAN,GUCY2C GUC2C STAR,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,Heat-stable enterotoxin receptor (STA receptor) (hSTAR) (Guanylyl cyclase C) (GC-C) (Intestinal guanylate cyclase)
219,Q02846,GUC2D_HUMAN,GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,"Retinal guanylyl cyclase 1 (RETGC-1) (Guanylate cyclase 2D, retinal) (Rod outer segment membrane guanylate cyclase) (ROS-GC)"
220,P51841,GUC2F_HUMAN,GUCY2F GUC2F RETGC2,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,"Retinal guanylyl cyclase 2 (RETGC-2)  (Guanylate cyclase 2F, retinal) (Guanylate cyclase F) (GC-F) (Rod outer segment membrane guanylate cyclase 2) (ROS-GC2)"
221,P16066,ANPRA_HUMAN,NPR1 ANPRA,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein,Atrial natriuretic peptide receptor 1  (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)
222,P20594,ANPRB_HUMAN,NPR2 ANPRB,Adenylyl cyclase class-4/guanylyl cyclase family,Cell membrane Single-pass type I membrane protein,Atrial natriuretic peptide receptor 2  (Atrial natriuretic peptide receptor type B) (ANP-B) (ANPR-B) (NPR-B) (Guanylate cyclase B) (GC-B)
223,Q02750,MP2K1_HUMAN,MAP2K1 MEK1 PRKMK1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body Cytoplasm Nucleus Membrane Peripheral membrane protein",Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1)  (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)
224,P36507,MP2K2_HUMAN,MAP2K2 MEK2 MKK2 PRKMK2,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",Cytoplasm Membrane Peripheral membrane protein,Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2)  (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)
225,P46734,MP2K3_HUMAN,MAP2K3 MEK3 MKK3 PRKMK3 SKK2,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",Cytoplasm Membrane Peripheral membrane protein,Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3)  (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)
226,P45985,MP2K4_HUMAN,MAP2K4 JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",Cytoplasm Nucleus,Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4)  (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1) (Stress-activated protein kinase kinase 1) (SAPK kinase 1) (SAPKK-1) (SAPKK1) (c-Jun N-terminal kinase kinase 1) (JNKK)
227,Q13163,MP2K5_HUMAN,MAP2K5 MEK5 MKK5 PRKMK5,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",Cytoplasm Nucleus,Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5)  (MAPK/ERK kinase 5) (MEK 5)
228,P52564,MP2K6_HUMAN,MAP2K6 MEK6 MKK6 PRKMK6 SKK3,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily","Nucleus Cytoplasm Cytoplasm, cytoskeleton",Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6)  (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)
229,O14733,MP2K7_HUMAN,MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",Nucleus. Cytoplasm,Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7)  (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2)
230,Q13233,M3K1_HUMAN,MAP3K1 MAPKKK1 MEKK MEKK1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Nucleus. Cytoplasm,Mitogen-activated protein kinase kinase kinase 1  (MAPK/ERK kinase kinase 1) (MEK kinase 1) (MEKK 1)
231,Q02779,M3K10_HUMAN,MAP3K10 MLK2 MST,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Nucleus. Cytoplasm,Mitogen-activated protein kinase kinase kinase 10  (Mixed lineage kinase 2) (Protein kinase MST)
232,Q16584,M3K11_HUMAN,MAP3K11 MLK3 PTK1 SPRK,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",Mitogen-activated protein kinase kinase kinase 11  (Mixed lineage kinase 3) (Src-homology 3 domain-containing proline-rich kinase)
233,Q12852,M3K12_HUMAN,MAP3K12 ZPK,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm Cell membrane,Mitogen-activated protein kinase kinase kinase 12  (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase)
234,O43283,M3K13_HUMAN,MAP3K13 LZK,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm Membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase 13  (Leucine zipper-bearing kinase) (Mixed lineage kinase) (MLK)
235,Q99558,M3K14_HUMAN,MAP3K14 NIK,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm Membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase 14  (NF-kappa-beta-inducing kinase) (HsNIK) (Serine/threonine-protein kinase NIK)
236,Q6ZN16,M3K15_HUMAN,MAP3K15 ASK3,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm Membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase 15  (Apoptosis signal-regulating kinase 3) (MAPK/ERK kinase kinase 15) (MEK kinase 15) (MEKK 15)
237,Q56UN5,M3K19_HUMAN,MAP3K19 RCK YSK4,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm Membrane Peripheral membrane protein,"Mitogen-activated protein kinase kinase kinase 19  (Regulated in COPD, protein kinase) (SPS1/STE20-related protein kinase YSK4)"
238,Q9Y2U5,M3K2_HUMAN,MAP3K2 MAPKKK2 MEKK2,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase kinase kinase 2  (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2)
239,Q9NYL2,M3K20_HUMAN,MAP3K20 MLTK ZAK HCCS4,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase kinase kinase 20  (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)
240,Q5TCX8,M3K21_HUMAN,MAP3K21 KIAA1804 MLK4,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase kinase kinase 21  (Mitogen-activated protein kinase kinase kinase MLK4) (Mixed lineage kinase 4)
241,Q99759,M3K3_HUMAN,MAP3K3 MAPKKK3 MEKK3,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm Nucleus,Mitogen-activated protein kinase kinase kinase 3  (MAPK/ERK kinase kinase 3) (MEK kinase 3) (MEKK 3)
242,Q9Y6R4,M3K4_HUMAN,MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily","Cytoplasm, perinuclear region",Mitogen-activated protein kinase kinase kinase 4  (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4)
243,Q99683,M3K5_HUMAN,MAP3K5 ASK1 MAPKKK5 MEKK5,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily","Cytoplasm, perinuclear region",Mitogen-activated protein kinase kinase kinase 5  (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)
244,O95382,M3K6_HUMAN,MAP3K6 ASK2 MAPKKK6 MEKK6,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily","Cytoplasm, perinuclear region",Mitogen-activated protein kinase kinase kinase 6  (Apoptosis signal-regulating kinase 2)
245,O43318,M3K7_HUMAN,MAP3K7 TAK1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm Cell membrane Peripheral membrane protein Cytoplasmic side,Mitogen-activated protein kinase kinase kinase 7  (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)
246,P41279,M3K8_HUMAN,MAP3K8 COT ESTF,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm,Mitogen-activated protein kinase kinase kinase 8  (Cancer Osaka thyroid oncogene) (Proto-oncogene c-Cot) (Serine/threonine-protein kinase cot) (Tumor progression locus 2) (TPL-2)
247,P80192,M3K9_HUMAN,MAP3K9 MLK1 PRKE1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Cytoplasm,Mitogen-activated protein kinase kinase kinase 9  (Mixed lineage kinase 1)
